ligand,a6cwa_apo,a6cwa_3pg,a6cwa_3pg_nadh,a2g76_apo,min,max,stdev
K5K,-1.658319115638733,-1.5284744501113892,-1.3072397708892822,-1.7186992168426514,-1.7186992168426514,-1.3072397708892822,0.18216092265945608
ONS,-1.5033986568450928,-1.8503721952438354,-1.8677680492401123,-1.3557307720184326,-1.8677680492401123,-1.3557307720184326,0.2552966283306118
ONV,-0.2669021487236023,-0.29914987087249756,-0.2423921525478363,-0.5472148060798645,-0.5472148060798645,-0.2423921525478363,0.14079842037040677
b1_023,0.1400514841079712,-0.0414881706237793,0.020458310842514038,0.20514412224292755,-0.0414881706237793,0.20514412224292755,0.11190394998039062
b1_025,-0.3335619568824768,-0.41648584604263306,-0.610136866569519,-0.5086708068847656,-0.610136866569519,-0.3335619568824768,0.11913833256467228
b1_029,0.034431569278240204,0.0807926207780838,0.03243434429168701,-0.005748763680458069,-0.005748763680458069,0.0807926207780838,0.03541854389962782
b1_058,-0.021646946668624878,-0.18141703307628632,-0.05277104675769806,-0.09456564486026764,-0.18141703307628632,-0.021646946668624878,0.06931333957983692
b1_077,-0.4243943393230438,-0.23288360238075256,-0.7231359481811523,-0.11925956606864929,-0.7231359481811523,-0.11925956606864929,0.2640950917977992
b1_095,0.015076294541358948,-0.9890693426132202,-0.9482030868530273,-0.7302284240722656,-0.9890693426132202,0.015076294541358948,0.46617918375602735
b1_096,-0.8324154615402222,-0.23102045059204102,-0.23867300152778625,-0.6271280646324158,-0.8324154615402222,-0.23102045059204102,0.2977983270090081
b1_104,-0.680382490158081,-0.88780677318573,-0.3358539044857025,-0.4661179482936859,-0.88780677318573,-0.3358539044857025,0.2427406415720171
b1_115,-1.7347959280014038,-1.0841902494430542,-1.3453855514526367,-1.2231004238128662,-1.7347959280014038,-1.0841902494430542,0.2797667412506635
b1_118,-0.2682289183139801,-0.8770937919616699,-0.09929680824279785,-0.1956581473350525,-0.8770937919616699,-0.09929680824279785,0.35155952581522576
b2_030,0.770535945892334,0.7875444889068604,0.8834052681922913,0.2811378836631775,0.2811378836631775,0.8834052681922913,0.2709400578038069
b2_053,0.46725183725357056,0.10129636526107788,0.5643060207366943,0.5101994276046753,0.10129636526107788,0.5643060207366943,0.21009811128925876
b2_067,-0.8132495880126953,-0.7284046411514282,-0.9617898464202881,-0.872596263885498,-0.9617898464202881,-0.7284046411514282,0.09831932439052006
b2_145,0.5798017978668213,0.2988419234752655,0.5842992067337036,0.7317782044410706,0.2988419234752655,0.7317782044410706,0.18090633961768182
r2b2_107,0.340854287147522,0.2562568783760071,0.009054867550730705,-0.021941110491752625,-0.021941110491752625,0.340854287147522,0.17989158373512967
r2b2_226,-0.9101473093032837,-0.48501527309417725,-0.8934535980224609,-0.8505855798721313,-0.9101473093032837,-0.48501527309417725,0.20142507069804413
r2b2_349,-0.9511677026748657,-0.3473561704158783,-0.6854996681213379,-0.6571035385131836,-0.9511677026748657,-0.3473561704158783,0.24710530835000324
reinvent_step59,-0.16821257770061493,0.09820465743541718,-0.06987088918685913,-0.06341411173343658,-0.16821257770061493,0.09820465743541718,0.11031910352905545
