id,boltz_aff_C1,vina_score_only,vina_local_only,delta_score_to_local
ONS,-1.82,-10.42,-10.58,+0.16
K5K,-1.79,-8.96,-9.19,+0.23
b2_067,-1.59,,,
r2b2_164,-1.55,,,
b1_096,-1.03,-6.93,-7.71,+0.79
ONV,-1.02,-7.32,-8.00,+0.69
b1_095,-0.85,-6.25,-7.38,+1.12
b1_025,-0.81,-6.69,-7.45,+0.76
r2b2_226,-0.73,-2.10,-6.33,+4.23
r2b2_349,-0.71,-6.44,-6.93,+0.49
b2_145,-0.70,-6.90,-7.33,+0.43
b1_029,-0.70,-7.34,-8.28,+0.94
b2_030,-0.67,-9.05,-9.30,+0.25
r2b2_107,-0.66,-9.26,-9.47,+0.22
b2_020,-0.65,-8.46,-8.66,+0.20
b1_058,-0.65,-7.26,-7.91,+0.66
b1_023,-0.64,-6.98,-7.09,+0.11
b1_077,-0.62,-5.92,-6.54,+0.62
b1_104,-0.61,-5.88,-9.32,+3.43
b1_115,-0.56,-8.31,-8.91,+0.60
b1_118,-0.56,-5.59,-5.59,+0.00
r2b2_285,-0.56,-9.12,-9.58,+0.46
b2_053,-0.55,-7.99,-8.39,+0.40
b2_151,-0.55,-8.07,-8.05,-0.03
r2b2_044,-0.50,-7.07,-7.49,+0.43
b1_107,-0.49,-8.25,-8.64,+0.38
b1_083,-0.49,-6.98,-7.60,+0.62
r2b2_338,-0.49,-5.91,-7.25,+1.33
b1_051,-0.48,-6.94,-7.21,+0.27
r2b2_344,-0.47,-6.38,-7.63,+1.25
b1_122,-0.46,-9.61,-10.14,+0.54
b1_005,-0.39,-7.86,-8.15,+0.30
b2_011,-0.37,-7.10,-7.86,+0.76
r2b2_105,-0.37,-6.60,-8.49,+1.88
b1_112,-0.37,-4.74,-8.17,+3.43
b1_027,-0.37,-9.19,-9.59,+0.40
b1_019,-0.35,-6.81,-7.55,+0.74
b1_082,-0.35,-6.09,-7.47,+1.38
b1_103,-0.34,-7.99,-8.11,+0.12
b1_087,-0.34,-6.73,-7.92,+1.18
b1_086,-0.33,-6.96,-8.01,+1.05
r2b2_153,-0.33,-5.37,-6.31,+0.94
b1_040,-0.33,-9.45,-10.80,+1.34
b2_165,-0.31,-6.51,-6.79,+0.28
r2b2_293,-0.29,-4.40,-5.82,+1.43
b1_137,-0.29,-5.55,-6.79,+1.25
b2_024,-0.29,-3.37,-5.91,+2.54
b1_129,-0.28,-7.21,-7.68,+0.47
r2b2_363,-0.27,-9.01,-9.16,+0.15
tg_011,-0.27,-5.84,-7.20,+1.37
K58,,-8.24,-8.66,+0.42
NCT503,,-7.43,-8.14,+0.71
